Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.622500,7.660714,7.585000,7.643214,6.562589,493729600
2010-01-05,7.664286,7.699643,7.616071,7.656429,6.573936,601904800
2010-01-06,7.656429,7.686786,7.526786,7.534643,6.469368,552160000
2010-01-07,7.562500,7.571429,7.466071,7.520714,6.457407,477131200
2010-01-08,7.510714,7.571429,7.466429,7.570714,6.500340,447610800
2010-01-11,7.600000,7.607143,7.444643,7.503929,6.442997,462229600
2010-01-12,7.471071,7.491786,7.372143,7.418571,6.369708,594459600
2010-01-13,7.423929,7.533214,7.289286,7.523214,6.459555,605892000
2010-01-14,7.503929,7.516429,7.465000,7.479643,6.422143,432894000
2010-01-15,7.533214,7.557143,7.352500,7.354643,6.314817,594067600
2010-01-19,7.440357,7.685357,7.401429,7.680000,6.594174,730007600
2010-01-20,7.675357,7.698214,7.482143,7.561786,6.492674,612152800
2010-01-21,7.574286,7.618214,7.400357,7.431071,6.380440,608154400
2010-01-22,7.385000,7.410714,7.041429,7.062500,6.063978,881767600
2010-01-25,7.232500,7.310714,7.149643,7.252500,6.227116,1065699600
2010-01-26,7.355357,7.632500,7.235000,7.355000,6.315124,1867110000
2010-01-27,7.387500,7.520714,7.126071,7.424286,6.374614,1722568400
2010-01-28,7.318929,7.339286,7.096429,7.117500,6.111203,1173502400
2010-01-29,7.181429,7.221429,6.794643,6.859286,5.889494,1245952400
2010-02-01,6.870357,7.000000,6.832143,6.954643,5.971371,749876400
2010-02-02,6.996786,7.011429,6.906429,6.995000,6.006021,698342400
2010-02-03,6.970357,7.150000,6.943571,7.115357,6.109363,615328000
2010-02-04,7.026071,7.084643,6.841786,6.858929,5.889190,757652000
2010-02-05,6.879643,7.000000,6.816071,6.980714,5.993754,850306800
2010-02-08,6.988929,7.067143,6.928571,6.932857,5.952665,478270800
2010-02-09,7.015000,7.053571,6.955357,7.006786,6.016140,632886800
2010-02-10,6.996071,7.021429,6.937857,6.968571,5.983330,370361600
2010-02-11,6.960000,7.133929,6.930714,7.095357,6.092189,550345600
2010-02-12,7.075357,7.201429,6.982143,7.156429,6.144628,655468800
2010-02-16,7.212143,7.274643,7.197143,7.264286,6.237234,543737600
2010-02-17,7.292500,7.296786,7.173571,7.233929,6.211169,436396800
2010-02-18,7.201071,7.281786,7.175714,7.247500,6.222822,422825200
2010-02-19,7.209286,7.257143,7.182500,7.202500,6.184185,415469600
2010-02-22,7.226429,7.232143,7.113929,7.157857,6.145854,390563600
2010-02-23,7.142857,7.190357,6.989643,7.037857,6.042820,575094800
2010-02-24,7.079643,7.194286,7.065714,7.166429,6.153214,460566400
2010-02-25,7.049286,7.245000,7.031786,7.214286,6.194304,665126000
2010-02-26,7.227857,7.327500,7.214286,7.307857,6.274645,507460800
2010-03-01,7.348214,7.482143,7.337500,7.463929,6.408653,550093600
2010-03-02,7.497500,7.529643,7.419286,7.458929,6.404358,566546400
2010-03-03,7.462143,7.495357,7.426429,7.476071,6.419076,372052800
2010-03-04,7.474286,7.532857,7.451071,7.525357,6.461395,366041200
2010-03-05,7.676429,7.846429,7.665357,7.819643,6.714075,899620400
2010-03-08,7.857500,7.860357,7.794643,7.824286,6.718060,429889600
2010-03-09,7.796786,8.035714,7.781786,7.965000,6.838881,920259200
2010-03-10,7.993929,8.052857,7.971429,8.030000,6.894690,596218000
2010-03-11,7.996786,8.053571,7.975714,8.053571,6.914927,405700400
2010-03-12,8.120357,8.133214,8.062500,8.092857,6.948660,416323600
2010-03-15,8.049286,8.053571,7.866071,7.994286,6.864026,493502800
2010-03-16,8.006429,8.035000,7.946786,8.016071,6.882729,446908000
2010-03-17,8.032143,8.087500,7.973929,8.004286,6.872612,450956800
2010-03-18,8.003571,8.035714,7.950357,8.023214,6.888865,342109600
2010-03-19,8.028214,8.044286,7.901071,7.937500,6.815267,559445600
2010-03-22,7.873929,8.071429,7.862500,8.026786,6.891929,456419600
2010-03-23,8.058571,8.170714,8.003571,8.155714,7.002631,602431200
2010-03-24,8.130000,8.221429,8.125357,8.191786,7.033603,597780400
2010-03-25,8.247143,8.248929,8.080357,8.094643,6.950192,542284400
2010-03-26,8.176786,8.283929,8.162500,8.246429,7.080518,640875200
2010-03-29,8.321429,8.352500,8.272143,8.299643,7.126209,540744400
2010-03-30,8.450000,8.481429,8.366071,8.423214,7.232309,527310000
2010-03-31,8.410357,8.450357,8.373571,8.392857,7.206244,430659600
2010-04-01,8.478929,8.526071,8.312500,8.427500,7.235989,603145200
2010-04-05,8.392143,8.518214,8.384643,8.517500,7.313263,684507600
2010-04-06,8.507143,8.580000,8.464286,8.555000,7.345464,447017200
2010-04-07,8.555357,8.640000,8.523571,8.592857,7.377968,628502000
2010-04-08,8.587143,8.626429,8.501429,8.569643,7.358037,572989200
2010-04-09,8.622500,8.638929,8.587857,8.635357,7.414457,334182800
2010-04-12,8.650000,8.681071,8.636071,8.653214,7.429792,333026400
2010-04-13,8.637857,8.671429,8.611071,8.658214,7.434085,306210800
2010-04-14,8.760000,8.778929,8.716786,8.774643,7.534053,404076400
2010-04-15,8.777857,8.893929,8.768214,8.890000,7.633099,376784800
2010-04-16,8.877500,8.969286,8.733929,8.835714,7.586488,750545600
2010-04-19,8.822500,8.853214,8.634643,8.823929,7.576370,566924400
2010-04-20,8.876429,8.901786,8.677143,8.735357,7.500320,738326400
2010-04-21,9.242857,9.294643,9.133214,9.257857,7.948948,982391200
2010-04-22,9.222857,9.526786,9.150000,9.516786,8.171266,793424800
2010-04-23,9.571071,9.720714,9.535714,9.672500,8.304967,796955600
2010-04-26,9.710000,9.730714,9.578214,9.625000,8.264182,479068800
2010-04-27,9.545357,9.565714,9.304286,9.358571,8.035423,709343600
2010-04-28,9.401786,9.428571,9.157500,9.342857,8.021932,758402400
2010-04-29,9.393571,9.642857,9.357500,9.594286,8.237813,558840800
2010-04-30,9.618214,9.663214,9.321429,9.324643,8.006289,542463600
2010-05-03,9.422857,9.567143,9.388571,9.512500,8.167588,454342000
2010-05-04,9.388929,9.403214,9.169643,9.238571,7.932391,723819600
2010-05-05,9.036786,9.219286,8.883214,9.142500,7.849900,883103200
2010-05-06,9.065357,9.223214,7.116071,8.794643,7.551224,1285860800
2010-05-07,8.703929,8.806071,8.043214,8.423571,7.232615,1676018400
2010-05-10,8.937500,9.094643,8.876071,9.071071,7.788570,984306400
2010-05-11,8.994286,9.281786,8.946429,9.161429,7.866154,848906800
2010-05-12,9.258571,9.397500,9.239286,9.360357,8.036957,654379600
2010-05-13,9.400714,9.464286,9.157143,9.227143,7.922578,599712400
2010-05-14,9.112857,9.160000,8.910714,9.065000,7.783359,759362800
2010-05-17,9.096429,9.149286,8.846786,9.079286,7.795623,762834800
2010-05-18,9.177857,9.233929,8.937857,9.012857,7.738589,782678400
2010-05-19,8.910714,9.032857,8.744643,8.869286,7.615312,1025726800
2010-05-20,8.638571,8.708929,8.436071,8.491429,7.290880,1282915200
2010-05-21,8.315000,8.732143,8.262500,8.654286,7.430710,1223891200
2010-05-24,8.831429,8.960714,8.795000,8.812857,7.566863,754238800
2010-05-25,8.548214,8.812857,8.470000,8.757857,7.519641,1048006400
2010-05-26,8.931429,9.004643,8.705357,8.718214,7.485603,850654000
2010-05-27,8.950000,9.067500,8.896786,9.048214,7.768944,666282400
2010-05-28,9.263929,9.264286,9.048214,9.174286,7.877193,815614800
2010-06-01,9.274643,9.497857,9.248571,9.315357,7.998319,876472800
2010-06-02,9.447857,9.457143,9.297500,9.426786,8.093991,688548000
2010-06-03,9.470714,9.483929,9.300357,9.397143,8.068540,650106800
2010-06-04,9.221786,9.353571,9.093929,9.141429,7.848981,758304400
2010-06-07,9.224643,9.255357,8.948214,8.962143,7.695046,886942000
2010-06-08,9.044286,9.064286,8.773214,8.904643,7.645673,1000770400
2010-06-09,8.981071,8.996429,8.660357,8.685714,7.457695,854630000
2010-06-10,8.744286,8.963571,8.650000,8.946786,7.681857,776356000
2010-06-11,8.865357,9.066429,8.834643,9.053929,7.773853,545759200
2010-06-14,9.141429,9.255357,9.071786,9.081429,7.797463,602960400
2010-06-15,9.130000,9.280357,9.125000,9.274643,7.963361,585074000
2010-06-16,9.325000,9.562500,9.308214,9.544643,8.195189,783678000
2010-06-17,9.664286,9.746429,9.625000,9.709643,8.336859,872855200
2010-06-18,9.723214,9.821429,9.693571,9.788214,8.404320,784621600
2010-06-21,9.917500,9.964643,9.597500,9.648929,8.284730,776490400
2010-06-22,9.720000,9.856071,9.696429,9.780357,8.397575,717262000
2010-06-23,9.806429,9.809286,9.567857,9.677500,8.309262,768457200
2010-06-24,9.678571,9.757143,9.575000,9.607143,8.248852,714277200
2010-06-25,9.645000,9.652500,9.493214,9.525000,8.178320,549942400
2010-06-28,9.533214,9.633929,9.447143,9.582143,8.227386,584948000
2010-06-29,9.432857,9.442500,9.082143,9.148929,7.855419,1133344800
2010-06-30,9.168214,9.213214,8.928929,8.983214,7.713134,739452000
2010-07-01,9.082143,9.100000,8.686429,8.874286,7.619606,1022896000
2010-07-02,8.946071,8.961786,8.685714,8.819286,7.572386,693842800
2010-07-06,8.964286,9.028571,8.791429,8.879643,7.624207,615235600
2010-07-07,8.946071,9.241786,8.919643,9.238214,7.932080,654556000
2010-07-08,9.374286,9.389286,9.103214,9.217500,7.914299,738144400
2010-07-09,9.174643,9.282143,9.112857,9.272143,7.961214,433322400
2010-07-12,9.233214,9.351786,9.102143,9.188929,7.889767,562878400
2010-07-13,9.154286,9.157143,8.801071,8.992857,7.721412,1190924000
2010-07-14,8.906429,9.135714,8.892857,9.026071,7.749934,812047600
2010-07-15,8.865357,9.177500,8.832143,8.980357,7.710681,824866000
2010-07-16,9.042143,9.106071,8.871786,8.925000,7.663153,1039858400
2010-07-19,8.924286,8.924286,8.557143,8.770714,7.530680,1024478000
2010-07-20,8.675000,9.032143,8.571786,8.996071,7.724175,1074950800
2010-07-21,9.467500,9.469643,9.071429,9.080000,7.796236,1185671200
2010-07-22,9.202857,9.285714,9.118214,9.250714,7.942815,645318800
2010-07-23,9.181786,9.299286,9.152857,9.283571,7.971029,533388800
2010-07-26,9.285714,9.289286,9.203929,9.260000,7.950789,420551600
2010-07-27,9.316786,9.457143,9.296429,9.431429,8.097980,584771600
2010-07-28,9.416786,9.499643,9.294643,9.320000,8.002304,519985200
2010-07-29,9.311071,9.380357,9.146429,9.218214,7.914910,643806800
2010-07-30,9.138929,9.275000,9.103571,9.187500,7.888538,448210000
2010-08-02,9.301429,9.378214,9.272143,9.351786,8.029597,428055600
2010-08-03,9.321786,9.402143,9.265000,9.354643,8.032052,417653600
2010-08-04,9.387143,9.438571,9.296786,9.392143,8.064246,420375200
2010-08-05,9.347500,9.399286,9.305357,9.346429,8.024995,289097200
2010-08-06,9.277857,9.338929,9.201071,9.288929,7.975626,444897600
2010-08-09,9.338571,9.362500,9.270357,9.348214,8.026533,303128000
2010-08-10,9.280357,9.301786,9.198214,9.264643,7.954777,451920000
2010-08-11,9.121429,9.131786,8.921786,8.935357,7.672045,620054400
2010-08-12,8.810357,9.039286,8.790000,8.992500,7.721108,534920400
2010-08-13,8.987500,8.995714,8.896071,8.896429,7.638620,354869200
2010-08-16,8.842143,8.928929,8.807857,8.844286,7.593848,318430000
2010-08-17,8.931429,9.093929,8.900000,8.998929,7.726629,422640400
2010-08-18,9.012857,9.095357,8.985000,9.038214,7.760362,339696000
2010-08-19,9.030000,9.052857,8.881429,8.924286,7.662539,426706000
2010-08-20,8.906786,9.068571,8.892857,8.915714,7.655177,384230000
2010-08-23,8.992500,9.000000,8.758929,8.778571,7.537426,414041600
2010-08-24,8.666786,8.678571,8.523214,8.568929,7.357423,602565600
2010-08-25,8.501429,8.713929,8.471429,8.674643,7.448190,596867600
2010-08-26,8.766071,8.776786,8.581429,8.581429,7.368156,466505200
2010-08-27,8.633929,8.664643,8.412857,8.629286,7.409246,548391200
2010-08-30,8.598571,8.776786,8.595714,8.660714,7.436230,383289200
2010-08-31,8.637500,8.734286,8.583929,8.682143,7.454630,420786800
2010-09-01,8.838214,8.980714,8.795714,8.940357,7.676336,697037600
2010-09-02,8.973571,9.006071,8.877500,9.006071,7.732762,415427600
2010-09-03,9.110357,9.242143,9.089286,9.241786,7.935148,520788800
2010-09-07,9.165714,9.268929,9.151786,9.207500,7.905712,342557600
2010-09-08,9.277857,9.442500,9.253571,9.390000,8.062407,526551200
2010-09-09,9.465714,9.518571,9.390000,9.395357,8.067009,438575200
2010-09-10,9.399643,9.446429,9.335714,9.407500,8.077435,387542400
2010-09-13,9.493571,9.581429,9.491429,9.537143,8.188748,388780000
2010-09-14,9.507500,9.613214,9.482857,9.573571,8.220026,408150400
2010-09-15,9.577500,9.656429,9.565714,9.650714,8.286263,429368800
2010-09-16,9.651429,9.881071,9.625000,9.877500,8.480985,652103200
2010-09-17,9.917500,9.927143,9.774286,9.834643,8.444185,634477200
2010-09-20,9.860000,10.135000,9.851786,10.115357,8.685212,658677600
2010-09-21,10.137857,10.262500,10.099643,10.134643,8.701772,668074400
2010-09-22,10.096786,10.285000,10.086071,10.276786,8.823818,585289600
2010-09-23,10.226071,10.455714,10.214286,10.318571,8.859694,786116800
2010-09-24,10.432143,10.483214,10.376786,10.440000,8.963955,649488000
2010-09-27,10.499286,10.526071,10.393214,10.398571,8.928383,482834800
2010-09-28,10.420357,10.420357,9.821429,10.245000,8.796526,1035042400
2010-09-29,10.258214,10.350357,10.214286,10.263214,8.812161,469644000
2010-09-30,10.321429,10.357143,10.044643,10.133929,8.701159,673391600
2010-10-01,10.219643,10.235000,10.048214,10.090000,8.663439,448142800
2010-10-04,10.057143,10.103571,9.920357,9.951429,8.544458,435302000
2010-10-05,10.071429,10.337500,10.065000,10.319286,8.860309,501967200
2010-10-06,10.342500,10.428214,10.187857,10.328214,8.867973,670868800
2010-10-07,10.369286,10.374286,10.246786,10.329286,8.868895,408399600
2010-10-08,10.418214,10.517857,10.357143,10.502500,9.017621,658403200
2010-10-11,10.526429,10.615714,10.521429,10.548571,9.057176,427753200
2010-10-12,10.550357,10.696429,10.446071,10.662143,9.154688,558544000
2010-10-13,10.721429,10.784286,10.707143,10.719286,9.203755,630092400
2010-10-14,10.774643,10.802500,10.728571,10.796786,9.270296,435296400
2010-10-15,10.980000,11.250000,10.889643,11.240714,9.651464,922194000
2010-10-18,11.373929,11.392857,11.224643,11.357143,9.751429,1093010800
2010-10-19,10.835714,11.206071,10.715000,11.053214,9.490472,1232784000
2010-10-20,11.035714,11.223214,10.959643,11.090357,9.522362,721624400
2010-10-21,11.155714,11.240714,10.957143,11.054286,9.491387,551460000
2010-10-22,11.038214,11.072857,10.939286,10.981071,9.428528,372778000
2010-10-25,11.038929,11.128571,11.015714,11.030000,9.470536,392462000
2010-10-26,10.959643,11.062143,10.916071,11.001786,9.446315,392929600
2010-10-27,10.987500,11.067857,10.914286,10.993929,9.439568,399002800
2010-10-28,10.998214,11.000000,10.746429,10.901429,9.360146,551051200
2010-10-29,10.865357,10.924286,10.745357,10.749286,9.229509,430511200
2010-11-01,10.793571,10.914286,10.792857,10.863571,9.327641,423889200
2010-11-02,10.964286,11.078214,10.964286,11.048571,9.486485,433930000
2010-11-03,11.120357,11.174286,11.018929,11.171429,9.591969,508348400
2010-11-04,11.266071,11.435000,11.251071,11.366786,9.759711,642488000
2010-11-05,11.356786,11.413214,11.312500,11.326071,9.724749,361253200
2010-11-08,11.328571,11.420357,11.312857,11.379286,9.770441,281758400
2010-11-09,11.466071,11.475000,11.232143,11.288571,9.692554,383544000
2010-11-10,11.308571,11.384643,11.198214,11.358214,9.752351,384227200
2010-11-11,11.250000,11.371429,11.223214,11.308929,9.710032,361284000
2010-11-12,11.285714,11.303571,10.843929,11.001071,9.445701,795846800
2010-11-15,11.016429,11.090714,10.938214,10.965714,9.415339,403606000
2010-11-16,10.918571,10.985714,10.690000,10.771071,9.248219,657650000
2010-11-17,10.757143,10.856786,10.634286,10.732143,9.214797,479449600
2010-11-18,10.900000,11.059643,10.881786,11.015357,9.457966,494491200
2010-11-19,10.998929,11.014286,10.901429,10.954643,9.405838,384843200
2010-11-22,10.952857,11.191429,10.923929,11.191429,9.609140,393075200
2010-11-23,11.087500,11.133929,10.948571,11.026071,9.467170,519447600
2010-11-24,11.142857,11.264286,11.133929,11.242857,9.653299,413725200
2010-11-26,11.205000,11.346429,11.176429,11.250000,9.659434,237585600
2010-11-29,11.267857,11.338571,11.120714,11.316786,9.716779,445785200
2010-11-30,11.197857,11.227143,11.102500,11.112500,9.541377,501858000
2010-12-01,11.259643,11.348214,11.250000,11.300000,9.702367,461750800
2010-12-02,11.340357,11.392857,11.246071,11.362500,9.756029,462837200
2010-12-03,11.321786,11.380357,11.297857,11.337143,9.734255,342092800
2010-12-06,11.380000,11.511786,11.372143,11.433929,9.817361,448481600
2010-12-07,11.564286,11.571071,11.361429,11.364643,9.757870,391454000
2010-12-08,11.415357,11.465000,11.325357,11.464643,9.843731,321935600
2010-12-09,11.504643,11.517857,11.393571,11.420000,9.805400,294151200
2010-12-10,11.416071,11.466071,11.378571,11.448571,9.829930,262511200
