Date,Adj Close,differenced_trasnformation_demand,differenced_demand_filled,differenced_inv_transformation_demand,date,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-01-04,6.562589,,6.562589,6.562589,2010-01-04,2010,1,1,4,0,1,0
2010-01-05,6.573936,0.011346999999999774,0.011346999999999774,6.573936,2010-01-05,2010,1,1,5,1,1,0
2010-01-06,6.469368,-0.10456799999999955,-0.10456799999999955,6.469368,2010-01-06,2010,1,1,6,2,1,0
2010-01-07,6.457407,-0.011961000000000332,-0.011961000000000332,6.457407,2010-01-07,2010,1,1,7,3,1,0
2010-01-08,6.5003400000000005,0.042933000000000554,0.042933000000000554,6.5003400000000005,2010-01-08,2010,1,1,8,4,2,0
2010-01-11,6.442997,-0.057343000000000366,-0.057343000000000366,6.442997,2010-01-11,2010,1,2,11,0,2,0
2010-01-12,6.369708,-0.07328899999999994,-0.07328899999999994,6.369708,2010-01-12,2010,1,2,12,1,2,0
2010-01-13,6.459555,0.08984699999999979,0.08984699999999979,6.459555,2010-01-13,2010,1,2,13,2,2,0
2010-01-14,6.422143,-0.03741199999999978,-0.03741199999999978,6.422143,2010-01-14,2010,1,2,14,3,2,0
2010-01-15,6.314817,-0.10732600000000048,-0.10732600000000048,6.314817,2010-01-15,2010,1,2,15,4,3,0
2010-01-19,6.594174000000001,0.27935700000000097,0.27935700000000097,6.594174000000001,2010-01-19,2010,1,3,19,1,3,0
2010-01-20,6.492674,-0.10150000000000059,-0.10150000000000059,6.492674,2010-01-20,2010,1,3,20,2,3,0
2010-01-21,6.38044,-0.11223399999999994,-0.11223399999999994,6.38044,2010-01-21,2010,1,3,21,3,3,0
2010-01-22,6.063978,-0.31646200000000047,-0.31646200000000047,6.063978,2010-01-22,2010,1,3,22,4,4,0
2010-01-25,6.2271160000000005,0.1631380000000009,0.1631380000000009,6.2271160000000005,2010-01-25,2010,1,4,25,0,4,0
2010-01-26,6.315124,0.08800799999999942,0.08800799999999942,6.315124,2010-01-26,2010,1,4,26,1,4,0
2010-01-27,6.374614,0.059490000000000265,0.059490000000000265,6.374614,2010-01-27,2010,1,4,27,2,4,0
2010-01-28,6.111203,-0.2634110000000005,-0.2634110000000005,6.111203,2010-01-28,2010,1,4,28,3,4,0
2010-01-29,5.889494,-0.2217089999999997,-0.2217089999999997,5.889494,2010-01-29,2010,1,4,29,4,5,0
2010-02-01,5.9713709999999995,0.08187699999999953,0.08187699999999953,5.9713709999999995,2010-02-01,2010,2,5,1,0,1,0
2010-02-02,6.006021,0.03465000000000007,0.03465000000000007,6.006021,2010-02-02,2010,2,5,2,1,1,0
2010-02-03,6.109363,0.10334200000000049,0.10334200000000049,6.109363,2010-02-03,2010,2,5,3,2,1,0
2010-02-04,5.88919,-0.22017299999999995,-0.22017299999999995,5.88919,2010-02-04,2010,2,5,4,3,1,0
2010-02-05,5.993754,0.10456399999999988,0.10456399999999988,5.993754,2010-02-05,2010,2,5,5,4,1,0
2010-02-08,5.9526650000000005,-0.04108899999999949,-0.04108899999999949,5.9526650000000005,2010-02-08,2010,2,6,8,0,2,0
2010-02-09,6.01614,0.0634749999999995,0.0634749999999995,6.01614,2010-02-09,2010,2,6,9,1,2,0
2010-02-10,5.9833300000000005,-0.03280999999999956,-0.03280999999999956,5.9833300000000005,2010-02-10,2010,2,6,10,2,2,0
2010-02-11,6.092189,0.10885899999999982,0.10885899999999982,6.092189,2010-02-11,2010,2,6,11,3,2,0
2010-02-12,6.144628,0.05243899999999968,0.05243899999999968,6.144628,2010-02-12,2010,2,6,12,4,2,0
2010-02-16,6.237234,0.09260599999999997,0.09260599999999997,6.237234,2010-02-16,2010,2,7,16,1,3,0
2010-02-17,6.211169,-0.026065000000000005,-0.026065000000000005,6.211169,2010-02-17,2010,2,7,17,2,3,0
2010-02-18,6.222822,0.011652999999999913,0.011652999999999913,6.222822,2010-02-18,2010,2,7,18,3,3,0
2010-02-19,6.184185,-0.03863699999999959,-0.03863699999999959,6.184185,2010-02-19,2010,2,7,19,4,3,0
2010-02-22,6.145854,-0.03833100000000034,-0.03833100000000034,6.145854,2010-02-22,2010,2,8,22,0,4,0
